Clade_EF,No. lgs,Representative languages,Clade_BP2017,No. lgs,Clade_HH2022,No. lgs,old_name
Kwomtari; Guriaso,1,Guriaso,(Kwomtari),,Guriaso,1,
Lavukaleve,1,Lavukaleve,(Central Solomons; Lavukaleve),,Lavukaleve,1,
Massep,1,Massep,Massep,1,Masep,1,
Mawes,1,Mawes,Mawes,1,Mawes,1,
Maybrat,1,Maybrat,Maibrat,1,Maybrat,1,
Molof,1,Molof,Molof,1,Molof,1,
Mor,1,Mor,Mor,1,Mor,1,
Mpur,1,Mpur,Mpur,1,Mpur,1,
Papi,1,Papi ,[not mentioned],,Papi,1,
Pawaia,1,Pawaia,Pawaia,1,Pawaia,1,
Porome,1,Porome,Porome,1,Porome,1,
Purari,1,Purari,Purari,1,Purari,1,
Pyu,1,Pyu,^(Kwomtari),,Pyu,1,
Sause,1,Sause,(Tor),,Sause,1,
Savosavo,1,Savosavo,"(Central Solomons, Savosavo)",4,Savosavo,1,
(Sepik; Middle Sepik),,Yerakai,(Sepik; Middle Sepik),,Yerakai,1,
Sulka,1,Sulka,Sulka,1,Sulka,1,
Tabo,1,Tabo,Tabo,1,Waia,1,
Tanahmerah,1,Tanahmerah,Tanahmerah,1,Tanahmerah,1,
Tayap,1,Tayap,Tayap,1,Taiap,1,
Touo,1,Touo,Central Solomons,4,Touo,1,
Uhunduni,1,Damal,TNG; ^Damal[5],,Uhunduni,1,
Usku,1,Usku,Usku,1,Usku,1,
Yadë,1,Yadë,Yadë,1,Yale,1,
