"ID","Name","Glottocode","Glottolog_Name","ISO639P3code","Macroarea","Latitude","Longitude","Family","Label","Project","ProjectFile","ProjectName","EntryDate","Comment","Link","Set","Clade_EF","No..lgs","Representative.languages","Clade_BP2017","No..lgs.1","No..lgs.2","old_name"
"p_tidoreversion2tido1248a","Tidore","tido1248","Tidore","tvo","Papunesia",0.02461,127.746,"North Halmahera","Tidore_(version_2)_tido1248a","parabank","Tidore (version 2) tido1248a.txt",NA,NA,"","","Parabank","North Halmahera",10,"Tidore","North Halmahera","10",10,""
"p_wartathuntaigunt1241","Warta Thuntai","gunt1241","Warta Thuntai","gnt","Papunesia",-8.80806,141.253,"Yam","Warta_Thuntai_gunt1241","parabank","Warta Thuntai gunt1241.txt",NA,NA,"","","Parabank","Yam",26,"Nen, Yei","Yam","27",26,""
"p_wersingwers1238","Wersing","wers1238","Wersing","kvw","Papunesia",-8.33936,124.932,"Timor-Alor-Pantar","Wersing_wers1238","parabank","Wersing wers1238.txt",NA,20170621,"","","Parabank","Timor-Alor-Pantar",25,"Abui, Teiwa, Bunaq","Timor-Alor-Pantar","25",25,""
"p_westernpantarlamm1241","Western Pantar","lamm1241","Western Pantar","lev","Papunesia",-8.52787,124.057,"Timor-Alor-Pantar","Western_Pantar_lamm1241","parabank","Western Pantar lamm1241.txt",NA,20170621,"","","Parabank","Timor-Alor-Pantar",25,"Abui, Teiwa, Bunaq","Timor-Alor-Pantar","25",25,""
"p_westkewawest2599","West Kewa","west2599","West Kewa","kew","Papunesia",-6.32097,143.73,"Nuclear Trans New Guinea","West_Kewa_west2599","parabank","West Kewa west2599.txt",NA,20170401,"","","Parabank","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_wipiwipi1242","Wipi","wipi1242","Wipi","gdr","Papunesia",-8.79741,143.064,"Eastern Trans-Fly","Wipi_wipi1242","parabank","Wipi wipi1242.txt",NA,NA,"","","Parabank","Oriomo",4,"Meryam Mer, Bine","Oriomo","4",4,""
"p_yelmekyelm1242","Yelmek","yelm1242","Southern Yelmek","jel","Papunesia",-7.4453,139.096,"Bulaka River","Yelmek_yelm1242","parabank","Yelmek yelm1242.txt",NA,NA,"","","Parabank","Bulaka River",4,"Yelmek","Yelmek-Maklew","2",4,""
"p_agob-ende-kawamagob1244","Agob-Ende-Kawam","agob1244","Agob-Ende-Kawam","","Papunesia",-9.08521,142.532,"Pahoturi","Agob-Ende-Kawam_agob1244","parabank","",NA,NA,"","","","Pahoturi",5,"Idi","Pahoturi","5",5,""
"p_alamblakalam1246","Alamblak","alam1246","Alamblak","","Papunesia",-4.66307,143.316,"Sepik","Alamblak_alam1246","parabank","",NA,NA,"","","","Sepik; Middle Sepik; Ndu",49,"Mehek, Alamblak","Sepik","45",49,""
"p_amanabaman1265","Amanab","aman1265","Amanab","","Papunesia",-3.51516,141.178,"Border","Amanab_aman1265","parabank","",NA,NA,"","","","Border",14,"Imonda, Kilmeri","Border","14",14,""
"p_auauuu1241","Au","auuu1241","Au","","Papunesia",-3.53277,142.105,"Nuclear Torricelli","Au_auuu1241","parabank","",NA,NA,"","","","Torricelli",50,"Arapesh, Srenge, Yeri","Torricelli","50",50,"Nuclear Torricelli"
"p_imbonguimbo1238","Imbongu","imbo1238","Imbongu","","Papunesia",-6.13629,144.026,"Nuclear Trans New Guinea","Awa_imbo1238","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_baruyabaru1267","Baruya","baru1267","Baruya","","Papunesia",-6.89261,145.818,"Angan","Baruya_baru1267","parabank","",NA,NA,"","","","(TNG; Angan)",13,"Menya","(TNG; Angan)","13",13,""
"p_berikberi1254","Berik","beri1254","Berik","","Papunesia",-2.26904,138.866,"Tor-Orya","Berik_beri1254","parabank","",NA,NA,"","","","(Tor-Orya)",NA,"Tor, Berik","Tor-Kwerba","",13,""
"p_biluabilu1245","Bilua","bilu1245","Bilua","","Papunesia",-7.92388,156.663,"Bilua","Bilua_bilu1245","parabank","",NA,NA,"","","","Bilua",1,"Bilua","(Central Solomons; Bilua)","4",1,""
"p_dadibidadi1250","Dadibi","dadi1250","Dadibi","","Papunesia",-6.65765,144.511,"Teberan","Daribi_dadi1250","parabank","",NA,NA,"","","","Teberan",2,"Folopa","Teberan","2",2,""
"p_doutaidout1240","Doutai","dout1240","Doutai","","Papunesia",-3.24832,138.22,"Lakes Plain","Doutai_dout1240","parabank","",NA,NA,"","","","Lakes Plain",20,"Iau, Abawiri","Lakes Plain","20",20,""
"p_eastkewaeast2516","East Kewa","east2516","East Kewa","","Papunesia",-6.32989,143.931,"Nuclear Trans New Guinea","East_Kave_east2516","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_edopiedop1238","Edopi","edop1238","Edopi","","Papunesia",-3.11078,137.387,"Lakes Plain","Edopi_edop1238","parabank","",NA,NA,"","","","Lakes Plain",20,"Iau, Abawiri","Lakes Plain","20",20,""
"p_eipomekeipo1242","Eipomek","eipo1242","Eipomek","","Papunesia",-4.33691,140.045,"Nuclear Trans New Guinea","Eipo_eipo1242","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_ekariekar1243","Ekari","ekar1243","Ekari","","Papunesia",-3.88974,136.018,"Nuclear Trans New Guinea","Ekari_ekar1243","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_eraveerav1244","Erave","erav1244","Erave","","Papunesia",-6.55011,143.918,"Nuclear Trans New Guinea","Erave_(South_Kewa)_erav1244","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_foifoii1241","Foi","foii1241","Foi","","Papunesia",-6.47258,143.495,"East Kutubu","Foi_foii1241","parabank","",NA,NA,"","","","(TNG; East Kutubu)",NA,"Foi","(TNG; East Kutubu)","",2,""
"p_forefore1270","Fore","fore1270","Fore","","Papunesia",-6.64473,145.5065,"Nuclear Trans New Guinea","Fore_fore1270","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_galelagale1259","Galela","gale1259","Galela","","Papunesia",2.31461,128.44,"North Halmahera","Galeia_A_gale1259","parabank","",NA,NA,"","","","North Halmahera",10,"Tidore","North Halmahera","10",10,""
"p_gimigimi1243","Gimi (Eastern Highlands)","gimi1243","Gimi (Eastern Highlands)","","Papunesia",-6.42097,145.214,"Nuclear Trans New Guinea","Gimi_gimi1243","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_lowergrandvalleydanilowe1415","Lower Grand Valley Dani","lowe1415","Lower Grand Valley Dani","","Papunesia",-4.25684,138.992,"Nuclear Trans New Guinea","Grand_Valley_Dani_lowe1415","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_hewahewa1241","Hewa","hewa1241","Hewa","","Papunesia",-5.03635,142.551,"Sepik","Hewa_hewa1241","parabank","",NA,NA,"","","","Sepik; Middle Sepik; Ndu",49,"Mehek, Alamblak","Sepik","45",49,""
"p_hulihuli1244","Huli","huli1244","Huli","","Papunesia",-5.97212,142.963,"Nuclear Trans New Guinea","Huli_huli1244","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_isakakris1246","I'saka","kris1246","I'saka","","Papunesia",-2.80084,141.303,"Sko","I'saka_(Krisa)_kris1246","parabank","",NA,NA,"","","","Sko",13,"Dusø","Sko","13",13,""
"p_iauiauu1242","Iau","iauu1242","Iau","","Papunesia",-3.14537,137.69,"Lakes Plain","Iau_iauu1242","parabank","",NA,NA,"","","","Lakes Plain",20,"Iau, Abawiri","Lakes Plain","20",20,""
"p_isirawaisir1237","Isirawa","isir1237","Isirawa","","Papunesia",-1.88775,138.595,"Greater Kwerba","Isirawa_isir1237","parabank","",NA,NA,"","","","Tor-Kwerba",23,"Kwerba","Kwerba","23",23,""
"p_iwamiwam1256","Iwam","iwam1256","Iwam","","Papunesia",-4.27346,141.817,"Sepik","Iwam_iwam1256","parabank","",NA,NA,"","","","Sepik; Middle Sepik; Ndu",49,"Mehek, Alamblak","Sepik","45",49,""
"p_kamanokama1370","Kamano","kama1370","Kamano","","Papunesia",-6.25829,145.728,"Nuclear Trans New Guinea","Kamano_kama1370","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
"p_kaurenaraukaur1271","Kaure-Narau","kaur1271","Kaure-Narau","","Papunesia",-3.39188,140.14,"Kaure-Narau","Kaure_kaur1271","parabank","",NA,NA,"","","","Kaure",NA,NA,NA,NA,NA,NA
"p_keyaganakeya1238","Keyagana","keya1238","Keyagana","","Papunesia",-6.47599,145.464,"Nuclear Trans New Guinea","Kemiju_(Jate)_keya1238","parabank","",NA,NA,"","","","TNG",431,"**","TNG","431",431,"Nuclear Trans New Guinea"
